['DORM na na na na']
['DDI na na na na']
['DOYU na na na na']
['DKNG na na na na']
['LYL na na na na']
['DGNS na na na na']
['DBX na na na na']
['DSPG na na na na']
['DCT na na na na']
['DSAC na na na na']
['DSACU na na na na']
['DSACW na na na na']
['DLTH na na na na']
['DUNEU na na na na']
['DUOT na na na na']
['DRRX na na na na']
['DXPE na na na na']
['DYAI na na na na']
['DYNT na na na na']
['DVAX na na na na']
['DYN na na na na']
['DZSI na na na na']
['ETAC na na na na']
['ETACU na na na na']
['ETACW na na na na']
['SSP na na na na']
['EBMT na na na na']
['EGBN na na na na']
['EGLE na na na na']
['EGRX na na na na']
['IGLE na na na na']
['EAR na na na na']
['ERES na na na na']
['ERESU na na na na']
['ERESW na na na na']
['ESSC na na na na']
['ESSCR na na na na']
['ESSCU na na na na']
['ESSCW na na na na']
['EWBC na na na na']
['EBC na na na na']
['EML na na na na']
['EAST na na na na']
['EVGBC na na na na']
['EVSTC na na na na']
['EVLMC na na na na']
['EBON na na na na']
['EBAY na na na na']
['EBAYL na na na na']
['EBIX na na na na']
['ECHO na na na na']
['SATS na na na na']
['MOHO 1.8280 0.1031 52.9599 31282343.0000']
['EDAP 4.3940 0.1867 62.4266 112434197.0000']
['EDSA 5.8490 -0.1484 na na']
['EDIT na na na na']
['ADOC na na na na']
['ADOCR na na na na']
['ADOCW na na na na']
['EDTXU na na na na']
['EDUC na na na na']
['EGAN na na na na']
['EH na na na na']
['EHTH na na na na']
['EIDX na na na na']
['EIGR na na na na']
['EKSO na na na na']
['LOCO na na na na']
['ESLT na na na na']
['SOLO na na na na']
['SOLOW na na na na']
['ECOR na na na na']
['EA na na na na']
['ELSE na na na na']
['ESBK na na na na']
['ELOX na na na na']
['ELTK na na na na']
['ELYS na na na na']
['EMCF na na na na']
['EMKR na na na na']
['ENTA na na na na']
['ECPG na na na na']
['WIRE na na na na']
['ENDP na na na na']
['NDRA na na na na']
['NDRAW na na na na']
['EIGI na na na na']
['WATT na na na na']
['EFOI na na na na']
['ERII na na na na']
['ENG na na na na']
['ENLV na na na na']
['ENOB na na na na']
['ENPH na na na na']
['ESGR na na na na']
['ESGRO na na na na']
['ESGRP na na na na']
['ETTX na na na na']
['ENTG na na na na']
['ENTX na na na na']
['ENTXW na na na na']
['EBTC na na na na']
['EFSC na na na na']
['EOSE na na na na']
['EOSEW na na na na']
['EPZM na na na na']
['PLUS na na na na']
['EPSN na na na na']
['EQ na na na na']
['EQIX na na na na']
['EQBK na na na na']
['ERIC na na na na']
['ERIE na na na na']
['ERYP na na na na']
['ESCA na na na na']
['ESPR na na na na']
['GMBL na na na na']
['GMBLW na na na na']
['ESQ na na na na']
['ESSA na na na na']
['EPIX na na na na']
['ESTA na na na na']
['VBND na na na na']
['VUSE na na na na']
['VIDI na na na na']
['ETON na na na na']
['ETSY na na na na']
['EUCRU na na na na']
['CLWT na na na na']
['EDRY na na na na']
['EEFT na na na na']
['ESEA na na na na']
['EVLO na na na na']
['EVBG na na na na']
['EVK na na na na']
['EVER na na na na']
['MRAM na na na na']
['EVOP na na na na']
['EVFM na na na na']
['EVGN na na na na']
['EVOK na na na na']
['EOLS na na na na']
['EVOL na na na na']
['EXAS na na na na']
['XGN na na na na']
['ROBO na na na na']
['XELA na na na na']
['EXEL na na na na']
